block,hospitals_within_circle
block_no :1135,22.0
block_no :1136,23.0
block_no :1137,21.0
block_no :1138,22.0
block_no :1139,21.0
block_no :1140,24.0
block_no :1141,19.0
block_no :1142,24.0
block_no :1143,21.0
block_no :1144,22.0
block_no :1145,22.0
block_no :1146,24.0
block_no :1147,23.0
block_no :1148,23.0
block_no :1149,20.0
block_no :1150,20.0
block_no :1151,20.0
block_no :1152,20.0
block_no :1153,21.0
block_no :1154,21.0
block_no :1155,21.0
block_no :1156,20.0
block_no :1157,21.0
block_no :1158,21.0
block_no :1159,21.0
block_no :1160,22.0
block_no :1161,28.0
block_no :1162,23.0
block_no :1163,27.0
block_no :1164,30.0
block_no :1165,28.0
block_no :1166,30.0
block_no :1167,30.0
block_no :1168,32.0
block_no :1169,29.0
block_no :1170,25.0
block_no :1171,24.0
block_no :1172,25.0
block_no :1173,24.0
block_no :1174,25.0
block_no :1175,20.0
block_no :1176,21.0
block_no :1177,20.0
block_no :1178,17.0
block_no :1179,19.0
block_no :1180,17.0
block_no :1181,18.0
block_no :1182,17.0
block_no :1183,16.0
block_no :1184,18.0
block_no :1185,17.0
block_no :1186,20.0
block_no :1187,20.0
block_no :1188,21.0
block_no :1189,22.0
block_no :1190,15.0
block_no :1191,14.0
block_no :1192,21.0
block_no :1193,16.0
block_no :1194,16.0
block_no :1195,16.0
block_no :1196,16.0
block_no :1197,16.0
block_no :1198,16.0
block_no :1199,10.0
block_no :1200,7.0
block_no :1201,7.0
block_no :1202,8.0
block_no :1203,11.0
block_no :1204,11.0
block_no :1205,10.0
block_no :1206,10.0
block_no :1207,11.0
block_no :1208,9.0
block_no :1209,8.0
block_no :1210,11.0
block_no :1211,9.0
block_no :1212,9.0
block_no :1213,10.0
block_no :1214,12.0
block_no :1215,14.0
block_no :1216,12.0
block_no :1217,12.0
block_no :1218,10.0
block_no :1219,9.0
block_no :1220,11.0
block_no :1221,10.0
block_no :1222,7.0
block_no :1223,7.0
block_no :1224,11.0
block_no :1225,13.0
block_no :1226,15.0
block_no :1227,16.0
block_no :1228,13.0
block_no :1229,12.0
block_no :1230,15.0
block_no :1231,18.0
block_no :1232,23.0
block_no :1233,21.0
block_no :1234,14.0
block_no :1235,14.0
block_no :1236,17.0
block_no :1237,5.0
block_no :1238,6.0
block_no :1239,15.0
block_no :1240,5.0
block_no :1241,5.0
block_no :1242,5.0
block_no :1243,5.0
block_no :1244,5.0
block_no :1245,5.0
block_no :1246,5.0
block_no :1247,5.0
block_no :1248,1.0
block_no :1249,5.0
block_no :1250,5.0
block_no :1251,2.0
block_no :1252,1.0
block_no :1253,98.0
block_no :1254,94.0
block_no :1255,100.0
block_no :1256,113.0
block_no :1257,90.0
block_no :1258,100.0
block_no :1259,93.0
block_no :1260,96.0
block_no :1261,98.0
block_no :1262,95.0
block_no :1263,95.0
block_no :1264,107.0
block_no :1265,100.0
block_no :1266,107.0
block_no :1267,104.0
block_no :1268,115.0
block_no :1269,109.0
block_no :1270,113.0
block_no :1271,115.0
block_no :1272,121.0
block_no :1273,119.0
block_no :1274,117.0
block_no :1275,114.0
block_no :1276,109.0
block_no :1277,114.0
block_no :1278,115.0
block_no :1279,104.0
block_no :1280,98.0
block_no :1281,109.0
block_no :1282,89.0
block_no :1283,95.0
block_no :1284,98.0
block_no :1285,93.0
block_no :1286,94.0
block_no :1287,90.0
block_no :1288,89.0
block_no :1289,90.0
block_no :1290,99.0
block_no :1291,100.0
block_no :1292,94.0
block_no :1293,99.0
block_no :1294,99.0
block_no :1295,95.0
block_no :1296,98.0
block_no :1297,102.0
block_no :1298,96.0
block_no :1299,95.0
block_no :1300,96.0
block_no :1301,92.0
block_no :1302,85.0
block_no :1303,90.0
block_no :1304,93.0
block_no :1305,93.0
block_no :1306,92.0
block_no :1307,90.0
block_no :1308,87.0
block_no :1309,92.0
block_no :1310,90.0
block_no :1311,91.0
block_no :1312,88.0
block_no :1313,85.0
block_no :1314,81.0
block_no :1315,62.0
block_no :1316,73.0
block_no :1317,67.0
block_no :1318,61.0
block_no :1319,58.0
block_no :1320,55.0
block_no :1321,65.0
block_no :1322,65.0
block_no :1323,39.0
block_no :1324,31.0
block_no :1325,40.0
block_no :1326,44.0
block_no :1327,50.0
block_no :1328,41.0
block_no :1329,46.0
block_no :1330,51.0
block_no :1331,49.0
block_no :1332,50.0
block_no :1333,43.0
block_no :1334,43.0
block_no :1335,29.0
block_no :1336,26.0
block_no :1337,41.0
block_no :1338,25.0
block_no :1339,37.0
block_no :1340,18.0
block_no :1341,25.0
block_no :1342,39.0
block_no :1343,21.0
block_no :1344,31.0
block_no :1345,32.0
block_no :1346,32.0
block_no :1347,31.0
block_no :1348,16.0
block_no :1349,16.0
block_no :1350,16.0
block_no :1351,21.0
block_no :1352,15.0
block_no :1353,12.0
block_no :1354,29.0
